Use_Code,Tax_Year,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
SingleFamily,2018,396285,1950,17480,1950,3,3,712531
SingleFamily,2018,315059,1983,10904,2179,2,4,744262
SingleFamily,2018,57489,1926,6750,1186,1,2,964840
SingleFamily,2018,525e3,2015,1558,1401,3,3,551082
SingleFamily,2018,87711,1939,6166,1756,3,3,615907
SingleFamily,2018,490049,1923,3e3,916,1,1,881394
SingleFamily,2018,252006,1939,24350,3200,3,4,3628939
SingleFamily,2018,211527,1936,9949,2190,2,3,1612304
SingleFamily,2018,1303908,1958,16795,4216,4,4,5215552
SingleFamily,2018,77297,1924,10442,1652,1,2,1343922
Quadruplex,2018,75147,1922,7979,4632,4,8,1487285
SingleFamily,2018,3339500,2012,6316,4172,6,4,3538480
SingleFamily,2018,191865,1947,5021,832,1,2,1756743
SingleFamily,2018,1170450,1950,6843,1632,2,3,1349952
SingleFamily,2018,742822,1962,11325,1956,2,3,846902
SingleFamily,2018,643e3,1961,8303,1795,2,3,651663
SingleFamily,2018,327725,1925,6002,1785,2,3,566057
MultiFamily2To4,2018,634525,1925,5227,2442,4,5,1442638
SingleFamily,2018,659688,1966,8841,2154,2,3,1528977
SingleFamily,2018,186132,1941,6606,1119,1,2,467706
SingleFamily,2018,86936,1949,5495,1026,1,2,701268
SingleFamily,2018,101267,1951,7829,1087,1,3,504296
SingleFamily,2018,901632,2009,17669,3361,4,5,945959
SingleFamily,2018,488975,1947,5799,1481,2,3,1432409
SingleFamily,2018,65013,1955,6006,1166,2,3,539948
SingleFamily,2018,712374,1925,3336,1044,2,3,806276
SingleFamily,2018,693247,1977,47044,1812,2,3,2021392
Condominium,2018,174237,1976,495261,1347,2,2,615798
Duplex,2018,448137,2011,5155,3320,6,8,734253
SingleFamily,2018,334741,1925,8346,2207,1,2,1329628
SingleFamily,2018,328229,1947,6312,1677,2,2,1128320
SingleFamily,2018,547476,1951,28921,3734,4,5,1468827
SingleFamily,2018,462886,2007,28056,2107,3,5,589328
SingleFamily,2018,863430,1969,19166,2684,3,7,981149
SingleFamily,2018,510499,1925,1900,811,1,2,864059
SingleFamily,2018,11e5,1945,7405,1223,1,3,1459257
SingleFamily,2018,950775,1963,13155,3120,4,5,1076371
SingleFamily,2018,295e3,1903,3468,1198,1,2,444316
SingleFamily,2018,489904,1949,15928,2122,2,3,780784
SingleFamily,2018,372363,1982,5198,1104,2,3,582351
SingleFamily,2018,795600,1949,22215,2989,3,4,1229442
SingleFamily,2018,1044954,2016,5619,2500,3,4,1587447
SingleFamily,2018,1535250,1975,3780,1317,2,3,1890491
SingleFamily,2018,918789,1950,5662,942,1,2,1347293
SingleFamily,2018,76582,1947,6651,1001,1,3,489797
SingleFamily,2018,881980,1985,7274,2515,3,4,910252
Duplex,2018,407312,1921,6249,2589,2,5,1180476
SingleFamily,2018,81417,1924,4801,1576,2,3,559464
SingleFamily,2018,593775,1974,10561,2690,3,3,1004625
SingleFamily,2018,348e3,1909,5462,998,1,3,412304
SingleFamily,2018,549256,1959,8398,1570,2,4,599879
SingleFamily,2018,1147527,1968,13503,2925,4,4,2986679
SingleFamily,2018,9361105,1941,28524,5478,5,7,10790904
SingleFamily,2018,211854,1922,5129,1164,2,2,387928
SingleFamily,2018,733481,1949,5488,1826,3,4,827449
SingleFamily,2018,490353,1910,6075,1300,1,3,395353
SingleFamily,2018,408e3,1949,5662,814,1,2,510394
SingleFamily,2018,536520,1949,8096,1098,1,3,575014
SingleFamily,2018,449259,1951,5662,1582,3,4,581677
SingleFamily,2018,194839,1948,8049,1090,1,3,482271
SingleFamily,2018,700928,1922,6400,1400,2,2,2037916
SingleFamily,2018,395982,1935,21754,1304,1,2,837315
SingleFamily,2018,645047,1942,6146,1346,1,2,798052
SingleFamily,2018,49080,1951,7229,1067,1,3,433207
Quadruplex,2018,428637,1923,5089,3473,1,3,1802561
SingleFamily,2018,365549,1953,6752,950,1,2,639733
SingleFamily,2018,74363,1952,9e3,1327,1,4,465955
Duplex,2018,400799,1905,5900,3155,3,7,1329232
SingleFamily,2018,337791,1955,6e3,1300,2,3,501618
SingleFamily,2018,541125,2006,8712,3861,4,6,1058148
SingleFamily,2018,92267,1947,6547,1915,2,4,978425
SingleFamily,2018,141245,1926,4042,877,1,2,378906
SingleFamily,2018,127222,1920,6001,784,1,2,369644
SingleFamily,2018,149863,1963,7594,2523,2,4,855346
SingleFamily,2018,239291,1956,3253,1017,1,3,341592
SingleFamily,2018,833e3,1922,36590,1994,1,3,698969
SingleFamily,2018,310813,1958,7552,1702,2,4,621770
SingleFamily,2018,349414,1919,6550,1462,1,2,1848321
SingleFamily,2018,1052143,1952,5769,1647,3,2,2596247
SingleFamily,2018,55541,1950,6749,1242,1,3,606291
MultiFamily2To4,2018,268698,1936,6490,4447,6,8,2074019
SingleFamily,2018,500972,1940,4400,1955,2,5,1120602
SingleFamily,2018,54459,1954,7499,1264,2,3,563122
SingleFamily,2018,255e3,1939,5802,964,2,3,487324
SingleFamily,2018,759491,1949,6969,1236,2,3,810059
Duplex,2018,340909,1920,2154,842,2,1,836036
SingleFamily,2018,498565,1977,5662,1401,2,3,619267
SingleFamily,2018,695587,1942,7402,2538,3,3,1598171
SingleFamily,2018,665445,1944,5357,1163,1,2,795873
SingleFamily,2018,90196,1954,8815,1318,2,2,496617
Condominium,2018,270141,1961,39095,1012,1,2,693232
SingleFamily,2018,850840,1949,6534,1770,3,3,1060637
SingleFamily,2018,182413,1909,6692,1479,1,2,633721
SingleFamily,2018,756905,1950,6902,1115,1,2,1041283
SingleFamily,2018,8196304,1961,139139,7605,7,6,10435315
SingleFamily,2018,666e3,1977,7521,2773,3,4,783708
SingleFamily,2018,415088,1948,6997,1295,2,2,1244670
MultiFamily2To4,2018,725902,1923,6504,2333,5.5,6,2350245
SingleFamily,2018,592035,1922,6001,1470,1,3,1270569
SingleFamily,2018,2268920,1949,5401,3729,3,3,3275834
SingleFamily,2018,837827,1991,13645,3907,4,5,1097624
SingleFamily,2018,343667,1956,8225,1986,2,4,644926
SingleFamily,2018,381854,1962,5216,1640,2,3,936237
Duplex,2018,327571,1921,7025,1850,3,4,724438
SingleFamily,2018,52949,1949,7357,800,1,2,471190
SingleFamily,2018,427535,1946,5308,792,1,2,531929
SingleFamily,2018,275498,1940,5662,1386,2,3,1370149
SingleFamily,2018,550800,1979,77001,2126,3,4,695475
SingleFamily,2018,169493,1972,5205,1200,2,4,432227
SingleFamily,2018,120607,1964,12048,2048,2,4,744988
SingleFamily,2018,267294,1948,6466,954,1,3,660428
SingleFamily,2018,321348,1966,8174,1743,2,3,655052
SingleFamily,2018,718088,1967,18439,3318,4,4,1479875
SingleFamily,2018,79031,1946,4017,1175,1,3,1431164
SingleFamily,2018,46053,1942,5099,1273,1,3,469333
SingleFamily,2018,749229,2003,5614,2857,3,5,885422
SingleFamily,2018,591600,2002,3588908,2885,3,4,702220
SingleFamily,2018,117812,1956,5999,1766,2,3,834156
SingleFamily,2018,309876,1953,5146,1438,1,3,925463
SingleFamily,2018,167159,1930,7696,3626,4,5,2545373
SingleFamily,2018,359184,1914,6387,2462,3,5,614723
SingleFamily,2018,210012,1940,5103,1285,2,3,399051
SingleFamily,2018,681090,1926,7801,1482,2,2,740959
SingleFamily,2018,184610,1958,5965,1189,2,3,503300
Triplex,2018,318459,1925,7602,1350,3,2,504e3
SingleFamily,2018,237302,1949,5750,2610,2,3,1627343
SingleFamily,2018,176118,1910,5100,1342,2,2,407736
SingleFamily,2018,1938e3,1961,5599,1452,2,3,1393250
SingleFamily,2018,595108,1950,9496,1637,2,3,651790
SingleFamily,2018,554536,1978,5033,1843,3,3,639628
SingleFamily,2018,59627,1955,4423,679,1,2,960581
SingleFamily,2018,147598,1938,5399,770,1,2,881435
SingleFamily,2018,454412,1937,5903,1288,2,3,780551
SingleFamily,2018,84310,1947,9003,608,1,2,405549
SingleFamily,2018,458116,1957,8276,2016,3,4,690289
SingleFamily,2018,1794886,1929,10284,4141,5,5,3154216
SingleFamily,2018,280621,1965,13198,1314,2,3,538837
SingleFamily,2018,233691,1949,6749,812,1,2,480050
SingleFamily,2018,317e4,1981,26916,2900,3.5,4,3678977
Quadruplex,2018,389907,1955,5609,3176,4,6,1837938
SingleFamily,2018,122611,1955,7553,1608,2,4,613511
SingleFamily,2018,128e4,1957,10717,1820,2,3,1335824
SingleFamily,2018,314e3,1926,4887,1207,2,3,405770
SingleFamily,2018,1106300,1962,19534,2328,3,5,1464406
SingleFamily,2018,596106,1977,13139,3511,3,5,1084720
SingleFamily,2018,489891,1955,6045,1242,2,3,558370
Condominium,2018,481127,1976,27060,1088,2,2,1140418
SingleFamily,2018,220702,1964,7037,1200,2,3,467507
SingleFamily,2018,191613,1941,5200,1458,2,3,433599
SingleFamily,2018,410040,1940,8938,1260,1,2,450086
SingleFamily,2018,80753,1960,7560,1544,2,3,638167
SingleFamily,2018,156412,1923,4801,1322,1,3,546692
SingleFamily,2018,57042,1924,7006,1334,1,3,1007044
MultiFamily2To4,2018,445291,1922,6490,1984,2,2,640540
SingleFamily,2018,311530,1950,5502,1343,1,2,1225089
SingleFamily,2018,248792,1957,6999,1788,2,3,821823
SingleFamily,2018,145264,1938,4928,1159,1,2,1195299
SingleFamily,2018,2089473,1948,7e3,1598,2,3,2940917
Triplex,2018,333526,1909,8421,2961,3,7,656353
SingleFamily,2018,337369,1921,6988,1488,1,2,472070
Triplex,2018,237336,1924,5400,1232,3,3,418473
SingleFamily,2018,646419,1958,11038,2100,2,3,756707
SingleFamily,2018,589005,1998,13880,2725,3,4,932328
SingleFamily,2018,274559,1956,7699,1637,2,2,889588
SingleFamily,2018,326348,1930,6974,1994,2,3,641343
SingleFamily,2018,530603,1925,5401,592,1.75,2,680994
SingleFamily,2018,195574,1948,6292,1364,1,3,525663
SingleFamily,2018,538693,1959,7153,1726,3,4,655336
SingleFamily,2018,195174,1955,9342,1190,2,4,511683
SingleFamily,2018,2771350,2013,6048,3800,6,5,3455590
SingleFamily,2018,357946,1958,12956,1421,2,3,690099
SingleFamily,2018,1466963,1967,13364,2568,2.5,3,1439112
SingleFamily,2018,143115,1971,5940,2202,3,4,657879
Duplex,2018,156647,1923,6353,1308,2,3,470491
SingleFamily,2018,411253,1926,432,1976,1,0,744262
SingleFamily,2018,282897,1930,5904,1463,2,3,832500
SingleFamily,2018,326043,2e3,7563,3550,3,4,829534
Condominium,2018,345780,1949,82845,900,1.5,2,491854
SingleFamily,2018,453136,1949,5600,1235,2,2,599537
SingleFamily,2018,808616,1968,13560,3392,3,4,2539429
SingleFamily,2018,400199,1961,16455,2501,4,4,2634564
Condominium,2018,351900,1980,169643,1410,2,3,421134
SingleFamily,2018,641804,1960,4500,1462,2.5,3,1226382
SingleFamily,2018,392286,1947,9995,2258,3,3,963761
SingleFamily,2018,690611,1941,6107,2349,4,4,2066947
SingleFamily,2018,148257,1914,5471,1192,2,3,821868
SingleFamily,2018,87209,1930,17467,2689,2,4,925030
Condominium,2018,427868,1991,80416,1895,3,3,539261
SingleFamily,2018,561052,1967,7499,2412,3,4,786596
Triplex,2018,344976,1950,4801,1572,3,3,797717
Quadruplex,2018,521199,1923,7e3,4304,4,4,775063
SingleFamily,2018,3883931,1951,40647,5799,4,4,8026663
Duplex,2018,234339,1923,7078,2750,4,5,1183295
MultiFamily2To4,2018,563461,1921,7100,2894,4,7,972581
Duplex,2018,336942,1922,6222,1624,2,5,554515
SingleFamily,2018,111399,1927,5200,1152,1,2,603741
SingleFamily,2018,297157,1960,7497,1570,2,3,672172
Condominium,2018,48891,1973,43932,378,1,1,291015
SingleFamily,2018,599780,1950,6e3,1180,1,3,995066
SingleFamily,2018,186053,1942,5394,1205,2,5,431317
SingleFamily,2018,279129,1925,5097,1652,3,5,487879
SingleFamily,2018,71269,1930,6077,1229,1,3,1253342
SingleFamily,2018,721498,1949,6251,1540,2,3,767485
SingleFamily,2018,349866,1950,5856,1058,1,2,475559
SingleFamily,2018,526265,1919,6564,1683,1,2,1200474
SingleFamily,2018,322810,1953,6464,1503,2,3,527506
SingleFamily,2018,879308,1957,14298,2595,3,4,3855086
SingleFamily,2018,808930,2006,4197,2472,3,4,809788
SingleFamily,2018,721742,1992,5679,3436,3,3,1831818
Duplex,2018,219055,1910,5404,1830,2,5,502549
Duplex,2018,106917,1921,4800,1332,2,2,705755
SingleFamily,2018,1127123,1954,12201,1633,2,2,1552933
Duplex,2018,227072,1910,4805,1824,2,5,493723
SingleFamily,2018,687534,1947,7405,1677,2,3,699779
SingleFamily,2018,624240,1959,11020,2505,3,4,799422
SingleFamily,2018,166830,1945,10891,660,1,1,2518347
SingleFamily,2018,358937,1939,4774,1330,2,4,454897
SingleFamily,2018,585558,1953,11786,1890,2,4,1154344
SingleFamily,2018,303915,1964,11325,2140,2.5,3,657610
SingleFamily,2018,294952,1928,4800,1730,3,1,815546
SingleFamily,2018,114583,1944,9158,1224,2,3,1323741
SingleFamily,2018,389059,1956,6614,1164,2,4,476454
SingleFamily,2018,700956,1925,6673,1998,3,3,2080794
SingleFamily,2018,781545,1951,5215,1545,2,3,1427350
SingleFamily,2018,506341,1977,7640,1716,3,4,978454
SingleFamily,2018,245090,1906,6350,1414,1,2,622823
Duplex,2018,215385,1922,11200,2828,4,5,1142496
SingleFamily,2018,113939,1973,11852,1601,2,3,747997
Unknown,2018,131333,1951,7199,1362,2,3,434359
Condominium,2018,490349,1978,126920,2967,3,4,1616928
SingleFamily,2018,139426,1953,8392,2500,2.75,3,2253611
SingleFamily,2018,389472,1940,10897,1506,3,4,689831
MultiFamily2To4,2018,372498,1978,5052,3382,4,7,925648
SingleFamily,2018,314932,1953,7139,1130,2,3,584492
SingleFamily,2018,197854,1916,5617,1255,1,2,442698
SingleFamily,2018,729300,1949,12012,1400,2,3,761613
SingleFamily,2018,836516,1989,5374,4121,3,4,1972324
Triplex,2018,393650,1937,5865,2574,4,6,1144805
SingleFamily,2018,42611,1921,4974,924,1,2,412596
Duplex,2018,38295,1927,4950,1440,2,3,507577
SingleFamily,2018,582077,1971,2744,1590,2,3,1859705
SingleFamily,2018,998169,1948,7208,2134,3,6,1335708
SingleFamily,2018,609500,1927,4791,912,1,2,729131
SingleFamily,2018,473381,1953,6900,1278,1,3,514400
SingleFamily,2018,240254,1956,7753,1980,2,3,1580919
Condominium,2018,285493,1979,274089,1404,2,2,424825
SingleFamily,2018,411768,1928,5576,2257,2,5,871750
SingleFamily,2018,79202,1955,5266,1150,2,3,482424
Triplex,2018,82904,1925,5181,2905,3,4,1397758
SingleFamily,2018,706490,1943,6650,1502,2,3,816647
SingleFamily,2018,1468350,1924,9848,2377,3,4,1645591
SingleFamily,2018,54898,1951,5549,1141,2,2,471959
SingleFamily,2018,478e3,1954,5985,1512,2,3,524729
SingleFamily,2018,96143,1965,7551,1738,2,3,602845
SingleFamily,2018,1399337,1922,6882,1713,2,2,1460075
SingleFamily,2018,179968,1926,4021,882,1,2,405337
SingleFamily,2018,1264085,1939,6659,2379,4,4,1745304
SingleFamily,2018,1181141,1931,6834,3134,3,4,2687107
SingleFamily,2018,292115,1949,5384,1544,2,2,555088
Condominium,2016,823599,2018,11092,1522,3,3,875270
Duplex,2018,198699,1929,4876,1504,2,2,442630
SingleFamily,2018,631377,1960,7139,1459,3,3,628594
SingleFamily,2018,109407,1951,5538,1456,2,4,1527105
SingleFamily,2018,124550,1954,6283,1594,3,3,579623
SingleFamily,2018,290061,1929,2577,1376,2,3,908070
SingleFamily,2018,475634,1966,6930,1793,2,4,585983
Condominium,2018,530400,1999,99544,1830,3,4,557963
SingleFamily,2018,361950,1965,12868,2362,3,3,1378829
SingleFamily,2018,364851,1941,7396,1875,3,3,1237495
SingleFamily,2018,440804,1956,5625,2249,3,3,824975
SingleFamily,2018,224046,1927,4801,1164,1,2,878194
SingleFamily,2018,66744,1907,6765,1819,2,3,1228815
Townhouse,2018,522810,1936,7624,1e3,1.5,2,702960
SingleFamily,2018,327144,1957,8242,1647,3,4,986524
SingleFamily,2018,577502,1983,8019,3168,4,4,1333580
SingleFamily,2018,347636,1973,10971,1787,3,4,703878
SingleFamily,2018,207061,1964,11400,2526,2,4,958163
SingleFamily,2018,790207,1955,9662,2082,2,3,1322428
SingleFamily,2018,217393,1964,17020,1854,2,4,601750
Duplex,2018,283802,1927,5706,1504,2,3,552080
SingleFamily,2018,2112529,1976,13046,3483,4,4,2407711
SingleFamily,2018,76867,1954,8645,1284,2,4,549888
SingleFamily,2018,649219,1991,5046,2949,4,4,1848459
SingleFamily,2018,400553,1910,5445,1932,2,5,497849
SingleFamily,2018,930120,1947,9868,2238,3,4,3581456
SingleFamily,2018,42394,1949,9414,1201,1,2,705392
Unknown,2018,388457,1957,11180,1600,2,3,688730
SingleFamily,2018,434885,1912,6354,2244,2,3,755215
SingleFamily,2018,297160,1962,11942,1600,2,3,736750
SingleFamily,2018,411752,1952,6413,1303,2,3,611444
SingleFamily,2018,1083606,1929,6074,1721,2,2,1705480
SingleFamily,2018,1687848,1961,19057,3819,3,4,2135061
SingleFamily,2018,1273235,1991,8276,3229,4,4,1642395
SingleFamily,2018,93758,1924,2773,780,1,2,694862
SingleFamily,2018,997e3,1940,7208,1704,2,3,1095323
SingleFamily,2018,797251,1952,10018,2543,4,5,1072967
SingleFamily,2018,2072594,1939,9904,2238,3,3,1648020
SingleFamily,2018,745901,1930,6675,2318,3,3,1331826
Duplex,2018,214550,1942,5783,1188,2,2,938864
SingleFamily,2018,19338,1940,4982,794,1,2,344859
SingleFamily,2018,196870,1962,7487,1196,2,3,611882
Triplex,2018,322709,1906,9608,2918,3,7,760921
Triplex,2018,5e5,1948,5001,2064,3,5,653878
SingleFamily,2018,50153,1941,5110,915,1,2,481754
SingleFamily,2018,814912,1941,4726,1938,2,3,1798169
SingleFamily,2018,760973,1949,8880,1839,2,3,1248710
SingleFamily,2018,175594,1924,3967,828,1,2,397332
SingleFamily,2018,472090,1963,14324,1990,2,3,869276
MultiFamily2To4,2018,669e3,1987,5445,1845,3,3,670902
SingleFamily,2018,55324,1944,5647,1060,1,3,520862
SingleFamily,2018,579876,1948,64290,1877,2,3,856638
SingleFamily,2018,414071,1959,7840,1875,2,3,658906
SingleFamily,2018,109798,1953,8280,1756,2,4,644282
Condominium,2018,258491,1976,127670,1830,3,3,1099649
SingleFamily,2018,414078,1957,5227,1280,2,3,594336
SingleFamily,2018,126856,1961,6518,1962,3,4,612691
SingleFamily,2018,998232,2008,12341,3419,3,3,1906208
SingleFamily,2018,281038,1951,17424,2034,4,3,716538
Duplex,2018,39588,1928,3580,1254,2,4,446914
SingleFamily,2018,320973,1995,9799,1830,3,4,620669
Duplex,2018,344548,1921,6100,2736,3,6,630151
SingleFamily,2018,331896,1923,4791,1194,2,2,395470
MultiFamily2To4,2018,398471,1960,6211,2912,1.5,3,2214020
SingleFamily,2018,168915,1935,4640,1939,2,2,2735190
Duplex,2018,182244,1927,7156,4842,5,6,2401938
SingleFamily,2018,946537,2003,2177,1405,3,3,2370368
SingleFamily,2018,203460,1928,4134,1220,1,3,456037
SingleFamily,2018,248370,1942,6445,1561,1.75,3,867982
SingleFamily,2018,359090,1961,9010,1792,2,3,842469
SingleFamily,2018,206045,1947,7505,1008,1,3,838188
SingleFamily,2018,513312,1911,6534,1113,1,2,417898
SingleFamily,2018,17e5,1938,6534,1690,2,2,1891277
Condominium,2018,200359,1925,7339,890,1,1,643320
SingleFamily,2018,246751,1973,11185,1536,2,4,731778
MultiFamily2To4,2018,306133,1924,3693,960,3,3,737268
SingleFamily,2018,492743,1992,2499,1840,3,4,1842252
SingleFamily,2018,205700,1960,8785,1533,2,3,543578
SingleFamily,2018,165259,1947,5792,1590,2,3,2744607
SingleFamily,2018,497305,1960,7623,1920,2,4,734954
SingleFamily,2018,151690,1956,8510,1632,2,3,659935
SingleFamily,2018,155673,1947,7749,1112,1,2,461409
Triplex,2018,765657,1917,6789,2441,2,7,1252865
SingleFamily,2018,721e3,1947,7568,1850,2,3,719977
SingleFamily,2018,303570,1950,6098,1001,1,3,506858
MultiFamily2To4,2018,36468,1921,5001,1456,2,2,461558
SingleFamily,2018,346344,1927,6029,1457,1,3,619884
SingleFamily,2018,204438,1963,8250,2131,3,3,681433
SingleFamily,2018,283607,1955,6594,1262,2,4,509970
SingleFamily,2018,81164,1968,6096,1486,2,3,818578
SingleFamily,2018,427869,1954,6e3,1559,2,4,704822
SingleFamily,2018,554841,1947,7493,968,2,2,784922
SingleFamily,2018,284929,1921,5460,1248,1,3,474190
SingleFamily,2018,700905,1936,14922,3749,4,4,3535806
MultiFamily2To4,2018,395760,1923,4800,1390,2,3,447243
Condominium,2018,448680,1986,4402,1603,3,4,569526
SingleFamily,2018,375999,1916,5052,2054,3,5,531677
SingleFamily,2018,324284,1940,4800,754,1,2,504995
SingleFamily,2018,590077,1964,11008,2458,3,5,872304
SingleFamily,2018,270560,1953,6925,960,1,3,472141
SingleFamily,2018,499800,1937,4800,871,1,2,544803
SingleFamily,2018,434887,1912,3960,1385,1,2,523256
SingleFamily,2018,1259229,1950,14477,3448,4,4,2467394
SingleFamily,2018,386361,1951,6098,1880,2,4,618489
SingleFamily,2018,229537,1927,4858,1448,2,3,417080
SingleFamily,2018,846600,1948,6851,1870,2.5,2,921367
SingleFamily,2018,227459,1923,6900,1152,1,2,402110
MultiFamily2To4,2018,680669,1946,5623,3392,4,8,1301492
Apartment,2018,222865,1950,17685,1578,1,1,435247
SingleFamily,2018,257357,1939,7329,1940,1,3,1444072
SingleFamily,2018,301532,1956,8920,1406,2,3,533400
SingleFamily,2018,33983,1914,5211,1128,1,2,549233
SingleFamily,2018,435494,1984,11003,2826,3,4,955893
SingleFamily,2018,592399,2001,7655,3134,3,5,869017
SingleFamily,2018,847689,1947,5401,2600,3,4,814843
SingleFamily,2018,353944,1950,6120,912,1.5,2,527199
SingleFamily,2018,420217,1951,6563,1622,2,2,969131
SingleFamily,2018,120758,1953,9511,1480,1,3,637516
SingleFamily,2018,1130437,1964,9966,3188,4,4,4298021
MultiFamily2To4,2018,97558,1937,2641,1098,1,1,2259376
SingleFamily,2018,708493,1955,19786,1855,3,3,1664803
SingleFamily,2018,1013387,1926,3484,950,1,2,867689
Condominium,2018,494500,2002,3589145,2885,3,5,620180
SingleFamily,2018,431088,1944,7025,1853,2,3,741618
SingleFamily,2018,210015,1923,4808,1056,1,3,584006
Duplex,2018,124920,1905,5361,2557,3,7,591725
SingleFamily,2018,803869,1954,15546,1696,2,2,1695707
SingleFamily,2018,567e3,1956,7503,1740,2,4,609002
SingleFamily,2018,355256,1927,5238,1092,1,2,453244
SingleFamily,2018,455e3,1956,7113,1170,2,3,512987
SingleFamily,2018,299616,1961,8033,2055,3,4,951262
SingleFamily,2018,476312,1939,9577,2029,2,4,1679649
SingleFamily,2018,67821,1939,22101,826,1,2,584303
SingleFamily,2018,386364,1950,6054,1422,2,3,655878
SingleFamily,2018,477085,1953,4356,810,1,2,470914
SingleFamily,2018,434366,1973,6530,1390,2,3,546789
Duplex,2018,681638,1953,2743,2142,6,6,1901802
SingleFamily,2018,86346,1910,65228,2875,3,5,1822489
Condominium,2018,888826,1971,90089,1450,2,2,935132
SingleFamily,2018,44052,1930,4920,1191,1,2,634247
SingleFamily,2018,1280530,1990,3150,3618,4,4,2785778
Townhouse,2018,549e3,2005,64555,1255,2.5,2,537803
SingleFamily,2018,151098,1949,7056,911,1,2,632134
SingleFamily,2018,211615,1911,4472,944,1,2,739181
SingleFamily,2018,280908,1908,3310,1320,1,3,552419
Triplex,2018,53604,1939,6302,3141,3,5,999982
SingleFamily,2018,381948,1912,6751,1308,1,2,940666
SingleFamily,2018,514515,1930,4800,1124,2,2,573510
SingleFamily,2018,48641,1941,6171,1523,2,2,707028
SingleFamily,2018,409800,1908,6723,1300,1,2,1096045
SingleFamily,2018,139596,1925,4777,502,1,2,500377
SingleFamily,2018,73250,1949,6906,1463,2,3,541476
SingleFamily,2018,218981,1956,7500,1392,2,3,572245
MultiFamily2To4,2018,772261,1952,7741,1521,3,4,1202390
SingleFamily,2018,151766,1903,5400,1155,2,4,431602
SingleFamily,2018,178213,1928,5585,1192,1,2,382738
Townhouse,2016,569543,1921,6572,1750,3.5,3,1087252
SingleFamily,2018,714074,1948,5150,1491,2,2,1263277
SingleFamily,2018,374857,1923,4803,1139,1,3,455477
SingleFamily,2018,179099,1915,5610,962,1,2,1078438
Duplex,2018,192706,1913,6953,1332,2,3,451177
SingleFamily,2018,76433,1937,3499,1213,2,2,1189356
SingleFamily,2018,130456,1920,6361,1412,1,3,413993
SingleFamily,2018,531319,1922,3363,1720,3,3,695147
SingleFamily,2018,359e3,1938,5070,1110,2,3,386638
SingleFamily,2018,649968,1901,3001,1605,2,4,953441
SingleFamily,2018,224095,1957,7500,1470,2,3,621324
SingleFamily,2018,74495,1965,3381,1344,3,3,721878
MultiFamily2To4,2018,317642,2008,2003,1100,1,2,417124
SingleFamily,2018,809210,1996,5400,2677,3,4,880601
SingleFamily,2018,354678,1958,6625,1862,3,3,613988
SingleFamily,2018,496442,1939,5533,1589,1,2,857431
SingleFamily,2018,227477,1949,7431,1131,1,3,628777
SingleFamily,2018,606900,1947,7140,1900,2,4,708243
Quadruplex,2018,407311,1981,5999,3312,4,8,1371632
SingleFamily,2018,60061,1925,3484,1141,2,3,1071586
SingleFamily,2018,1364852,1955,57015,4250,3,4,3056479
SingleFamily,2018,279722,1930,4801,828,1,2,1026437
SingleFamily,2018,326529,1960,8276,1315,2,3,557109
SingleFamily,2018,188216,1976,11e3,2834,4,5,895922
SingleFamily,2018,437333,2002,10743,1876,2,4,585101
SingleFamily,2018,467393,1953,4585,1857,2,3,1423729
SingleFamily,2018,224399,1928,6908,2832,2,4,1476584
SingleFamily,2018,173726,1927,2437,978,1,2,1381291
SingleFamily,2018,419742,1956,6534,1508,2,4,619525
